depth,gc,acc,gcrank
73.43,0.32,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
39.41,0.32,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
95.93,0.3,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
50.26,0.3,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
85.83,0.29,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
88.26,0.29,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
85.14,0.29,SRR6316257_NODE_24_length_2402_cov_38.764806,bot90
1530.95,0.75,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
528.94,0.68,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
2043.82,0.65,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
2550.91,0.65,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
2385.51,0.64,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
2339.88,0.61,SRR2037085_NODE_4574_length_3078_cov_86.622230,top10
2547.45,0.59,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2873.19,0.59,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2297.08,0.58,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2411.34,0.58,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3046.17,0.58,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2497.15,0.55,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2698.63,0.54,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2829.01,0.54,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2407.39,0.54,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2529.57,0.53,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2458.94,0.53,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2284.71,0.53,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2305.4,0.53,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2499.33,0.53,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2571.84,0.52,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2692.55,0.52,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
8161.5,0.51,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2226.74,0.51,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3143.98,0.49,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2854.01,0.48,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2566.24,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2655.69,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2281.18,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3116.77,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2724.98,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2831.36,0.47,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
1853.97,0.46,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
1890.56,0.46,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2887.32,0.46,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2674.17,0.45,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2491.03,0.45,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3167.39,0.44,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3087.5,0.43,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
9750.78,0.43,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3556.86,0.43,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2720.04,0.43,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3001.25,0.42,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2299.15,0.42,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2899.08,0.41,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2105.22,0.41,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
1930.96,0.41,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
5905.29,0.41,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2192.23,0.4,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2627.25,0.4,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
3385.55,0.4,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2655.78,0.39,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2728.49,0.39,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2513.79,0.37,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2634.25,0.37,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2169.43,0.35,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2522.88,0.35,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2494.05,0.35,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2470.02,0.35,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
2860.48,0.35,SRR2037085_NODE_4574_length_3078_cov_86.622230,bot90
84.6,0.79,DRR140173_NODE_7_length_3255_cov_37.166562,top10
79.01,0.77,DRR140173_NODE_7_length_3255_cov_37.166562,top10
82.56,0.69,DRR140173_NODE_7_length_3255_cov_37.166562,top10
83.45,0.68,DRR140173_NODE_7_length_3255_cov_37.166562,top10
82.04,0.64,DRR140173_NODE_7_length_3255_cov_37.166562,top10
81.41,0.63,DRR140173_NODE_7_length_3255_cov_37.166562,top10
43.3,0.62,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
23.65,0.59,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
36.99,0.56,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
37.42,0.55,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
52.87,0.54,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
61.91,0.53,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
22.11,0.52,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
74.19,0.52,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
81.27,0.48,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
116.67,0.47,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
121.18,0.47,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
95.0,0.46,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
95.76,0.45,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
39.22,0.44,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
65.66,0.44,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
81.84,0.43,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
109.6,0.42,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
25.41,0.42,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
83.68,0.42,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
96.89,0.41,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
77.63,0.41,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
83.38,0.4,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
65.65,0.39,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
115.05,0.39,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
122.98,0.39,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
31.27,0.39,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
97.64,0.38,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
88.11,0.38,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
54.11,0.38,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
108.44,0.37,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
70.91,0.37,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
107.92,0.36,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
58.25,0.36,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
64.31,0.36,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
105.55,0.35,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
113.93,0.35,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
114.71,0.35,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
67.02,0.35,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
121.34,0.34,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
109.15,0.34,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
94.03,0.34,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
44.69,0.33,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
113.4,0.33,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
108.03,0.32,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
116.96,0.32,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
109.76,0.32,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
67.93,0.32,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
92.13,0.31,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
125.58,0.31,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
115.77,0.31,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
116.4,0.3,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
124.01,0.3,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
56.36,0.3,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
107.62,0.28,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
95.12,0.27,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
118.74,0.26,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
107.43,0.25,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
119.87,0.22,DRR140173_NODE_7_length_3255_cov_37.166562,bot90
21.77,0.6,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
18.4,0.56,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
23.98,0.55,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
22.06,0.51,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
27.87,0.48,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
29.94,0.48,SRR7167010_NODE_4_length_2876_cov_8.654378,top10
22.02,0.45,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
40.05,0.45,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
27.01,0.45,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
34.48,0.44,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
24.39,0.43,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
21.82,0.42,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
28.7,0.41,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
27.78,0.41,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
25.51,0.41,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
35.8,0.41,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
32.46,0.4,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
20.16,0.4,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
26.02,0.4,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
14.74,0.39,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
41.52,0.39,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
22.06,0.39,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
32.98,0.39,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
22.05,0.38,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
33.46,0.38,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
34.66,0.37,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
12.78,0.37,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
31.21,0.37,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
33.04,0.36,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
23.73,0.36,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
23.59,0.36,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
30.31,0.35,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
21.29,0.35,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
27.4,0.35,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
38.19,0.35,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
19.68,0.35,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
29.4,0.34,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
27.21,0.34,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
29.03,0.34,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
37.31,0.33,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
29.33,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
18.67,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
21.45,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
34.43,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
24.82,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
26.62,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
14.16,0.32,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
15.96,0.31,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
17.0,0.31,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
32.76,0.3,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
15.2,0.28,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
11.8,0.28,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
20.73,0.27,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
20.12,0.27,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
27.25,0.26,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
19.1,0.25,SRR7167010_NODE_4_length_2876_cov_8.654378,bot90
8.94,0.53,SRR2037085_NODE_6621_length_2475_cov_9.333471,top10
14.9,0.53,SRR2037085_NODE_6621_length_2475_cov_9.333471,top10
17.9,0.47,SRR2037085_NODE_6621_length_2475_cov_9.333471,top10
20.8,0.46,SRR2037085_NODE_6621_length_2475_cov_9.333471,top10
22.86,0.45,SRR2037085_NODE_6621_length_2475_cov_9.333471,top10
33.01,0.44,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
23.07,0.44,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
16.32,0.44,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
18.72,0.43,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
34.13,0.42,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
25.68,0.42,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
20.58,0.41,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
26.12,0.41,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
19.08,0.41,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
29.61,0.4,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
20.58,0.4,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
28.03,0.4,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
25.25,0.39,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
22.76,0.39,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
21.3,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
29.86,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
29.16,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
23.36,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
23.92,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
27.38,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
31.85,0.38,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
20.89,0.37,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
29.91,0.37,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
24.43,0.37,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
18.52,0.36,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
23.1,0.36,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
16.59,0.35,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
21.43,0.35,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
23.2,0.35,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
25.54,0.35,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
19.96,0.35,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
16.57,0.34,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
22.23,0.34,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
19.81,0.33,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
19.75,0.33,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
24.79,0.33,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
25.26,0.32,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
22.22,0.32,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
18.24,0.31,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
20.04,0.3,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
20.2,0.3,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
29.29,0.29,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
19.22,0.28,SRR2037085_NODE_6621_length_2475_cov_9.333471,bot90
4613.42,0.87,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
4142.98,0.79,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
7839.3,0.7,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
7572.8,0.67,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
1027.84,0.65,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
551.76,0.64,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
4810.18,0.62,SRR6316240_NODE_4_length_3548_cov_90.202977,top10
8020.93,0.6,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8551.87,0.58,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3469.72,0.58,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6771.66,0.57,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6732.29,0.56,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3610.75,0.56,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
1347.95,0.56,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
9444.0,0.56,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6733.67,0.55,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3778.81,0.54,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6827.63,0.54,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7025.23,0.54,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4228.53,0.53,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7825.29,0.53,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6654.97,0.53,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4156.07,0.53,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7138.56,0.53,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6924.3,0.52,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3952.64,0.52,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5020.66,0.52,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8408.39,0.51,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6909.63,0.51,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6315.22,0.5,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8397.6,0.49,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4536.35,0.49,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7694.61,0.49,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4948.85,0.49,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3297.67,0.48,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4777.91,0.48,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5083.88,0.48,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5596.4,0.48,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5580.62,0.48,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7235.23,0.47,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8769.33,0.47,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3978.19,0.47,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5569.93,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6056.43,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8582.05,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5240.1,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4952.29,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7700.12,0.46,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
2636.75,0.45,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
9606.62,0.44,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5342.52,0.44,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
1856.57,0.44,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6562.82,0.43,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
3570.19,0.42,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5647.52,0.42,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4569.99,0.42,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6662.97,0.42,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
8333.46,0.42,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4864.44,0.4,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6729.56,0.4,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5169.54,0.39,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5986.67,0.39,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
6247.48,0.39,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5493.82,0.38,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5616.38,0.38,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
5114.55,0.37,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
7240.68,0.37,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4458.67,0.32,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
4829.49,0.3,SRR6316240_NODE_4_length_3548_cov_90.202977,bot90
12.59,0.6,SRR7167078_NODE_138_length_2635_cov_4.973643,top10
11.56,0.51,SRR7167078_NODE_138_length_2635_cov_4.973643,top10
12.09,0.49,SRR7167078_NODE_138_length_2635_cov_4.973643,top10
9.47,0.46,SRR7167078_NODE_138_length_2635_cov_4.973643,top10
16.55,0.46,SRR7167078_NODE_138_length_2635_cov_4.973643,top10
18.14,0.45,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
10.69,0.43,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
11.96,0.42,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.37,0.42,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
9.85,0.42,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.34,0.4,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
8.76,0.4,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
10.57,0.4,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.8,0.39,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.9,0.39,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
10.34,0.39,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.21,0.38,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
17.12,0.38,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
21.4,0.38,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
6.87,0.37,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
20.02,0.37,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.67,0.37,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
9.34,0.37,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
9.09,0.36,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
9.65,0.36,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
10.59,0.35,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.79,0.35,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
5.41,0.35,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.05,0.34,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
18.93,0.34,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
8.22,0.34,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
8.39,0.34,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
18.33,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.03,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.35,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.08,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.12,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.7,0.33,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
8.66,0.32,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.54,0.32,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
6.36,0.32,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.67,0.31,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.44,0.31,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.4,0.31,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
9.46,0.3,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
10.99,0.29,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
7.67,0.29,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
12.35,0.28,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.21,0.27,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
14.49,0.27,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
13.89,0.25,SRR7167078_NODE_138_length_2635_cov_4.973643,bot90
47.4,0.61,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
45.62,0.58,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
38.55,0.57,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
21.58,0.54,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
63.09,0.52,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
50.13,0.46,SRR6316307_NODE_7_length_2855_cov_28.441786,top10
36.42,0.46,SRR6316307_NODE_7_length_2855_cov_28.441786,bot90
60.51,0.45,SRR6316307_NODE_7_length_2855_cov_28.441786,bot90
65.23,0.45,SRR6316307_NODE_7_length_2855_cov_28.441786,bot90
