ContigID,ContigLength,LogProbability,PredictionResult,ReferenceAcc,ReferenceLength,MostProbablyVirusName
SRR2037085_NODE_6508_length_2493_cov_4.894586,2493,76.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6513_length_2492_cov_9.802216,2492,76.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6514_length_2492_cov_8.836274,2492,76.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6531_length_2490_cov_103.070637,2490,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6544_length_2489_cov_4.679951,2489,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6545_length_2488_cov_67.781340,2488,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6547_length_2488_cov_5.496917,2488,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6552_length_2487_cov_5.763158,2487,76.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6554_length_2486_cov_38.543809,2486,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6559_length_2485_cov_53.960082,2485,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_6564_length_2484_cov_62.790449,2484,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037085_NODE_5107_length_2889_cov_9.442131,2889,103.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5079_length_2896_cov_38.301302,2896,103.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_4706_length_3026_cov_76.340289,3026,108.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6222_length_2560_cov_7.601996,2560,91.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6385_length_2519_cov_9.820211,2519,89.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6412_length_2512_cov_10.426536,2512,89.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6426_length_2509_cov_86.914833,2509,89.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6714_length_2459_cov_67.827787,2459,87.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6710_length_2460_cov_31.163410,2460,87.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6654_length_2469_cov_10.145816,2469,88.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6653_length_2469_cov_15.634217,2469,88.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6646_length_2470_cov_23.760248,2470,88.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6645_length_2470_cov_68.151967,2470,88.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6634_length_2473_cov_6.013648,2473,88.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6631_length_2473_cov_21.275848,2473,88.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6628_length_2473_cov_44.879653,2473,88.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6621_length_2475_cov_9.333471,2475,88.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6602_length_2478_cov_46.224928,2478,88.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6427_length_2509_cov_72.072127,2509,89.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6641_length_2471_cov_80.148179,2471,88.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166883_NODE_5_length_3768_cov_69.885537,3768,134.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166883_NODE_14_length_2147_cov_76.689293,2147,76.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316284_NODE_19_length_2502_cov_46.172047,2502,89.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316284_NODE_14_length_2737_cov_66.498509,2737,97.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7167078_NODE_153_length_2464_cov_6.538813,2464,87.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7167078_NODE_118_length_2845_cov_15.931900,2845,101.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7167078_NODE_190_length_2097_cov_5.729187,2097,74.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_2170_length_2041_cov_3.985398,2041,72.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_2139_length_2064_cov_94.250373,2064,73.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_2195_length_2021_cov_40.004069,2021,72.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_2173_length_2039_cov_3.652722,2039,72.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_2093_length_2105_cov_13.169268,2105,56.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1376_length_2843_cov_72.577475,2843,101.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1604_length_2538_cov_141.161901,2538,90.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1643_length_2510_cov_115.516090,2510,89.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1661_length_2497_cov_11.817363,2497,89.1%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1689_length_2478_cov_28.159719,2478,88.4%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1708_length_2467_cov_15.182836,2467,88.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1734_length_2446_cov_5.354245,2446,87.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1760_length_2420_cov_87.813531,2420,86.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1873_length_2295_cov_76.539286,2295,61.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_2013_length_2168_cov_86.958353,2168,57.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_2038_length_2150_cov_5.638186,2150,76.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1696_length_2474_cov_13.606036,2474,88.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
ERR1989828_NODE_605_length_3247_cov_15.901629,3247,86.9%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR2037083_NODE_1055_length_3506_cov_100.455810,3506,96.6%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR2037083_NODE_1207_length_3105_cov_177.622623,3105,110.8%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1216_length_3083_cov_71.353699,3083,82.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1225_length_3068_cov_111.693993,3068,81.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1226_length_3067_cov_70.074037,3067,82.1%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR2037083_NODE_1237_length_3045_cov_47.034114,3045,81.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1241_length_3039_cov_109.061997,3039,80.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1247_length_3026_cov_31.711208,3026,81.0%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR2037083_NODE_1250_length_3025_cov_80.289562,3025,80.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1253_length_3021_cov_7.262643,3021,103.7%,Full-length,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR2037083_NODE_1261_length_3010_cov_84.541117,3010,80.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1286_length_2978_cov_120.912761,2978,79.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1287_length_2975_cov_86.436644,2975,79.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1289_length_2974_cov_69.824940,2974,78.8%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037083_NODE_1336_length_2912_cov_102.922296,2912,77.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1340_length_2905_cov_80.092982,2905,77.0%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR2037083_NODE_1344_length_2897_cov_72.052780,2897,103.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1351_length_2892_cov_19.944307,2892,76.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1358_length_2883_cov_24.102546,2883,76.7%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1373_length_2845_cov_5.214337,2845,101.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1378_length_2841_cov_13.270280,2841,101.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1414_length_2801_cov_8.129643,2801,74.7%,Partial,NC_014081.1,3748,"Torque teno virus 3, complete genome"
SRR2037083_NODE_1418_length_2795_cov_59.138321,2795,74.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1433_length_2769_cov_39.274134,2769,98.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1450_length_2739_cov_5.714232,2739,72.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1469_length_2722_cov_5.415823,2722,72.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1527_length_2634_cov_80.562233,2634,70.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1542_length_2615_cov_7.861719,2615,80.9%,Partial,NC_038340.1,3234,"Torque teno virus 20 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-10"
SRR2037083_NODE_1555_length_2595_cov_72.720079,2595,79.8%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1579_length_2569_cov_24.115354,2569,79.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1601_length_2540_cov_30.126358,2540,78.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1605_length_2538_cov_73.684656,2538,78.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1617_length_2528_cov_69.701981,2528,98.4%,Partial,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR2037083_NODE_1656_length_2501_cov_4.233851,2501,76.9%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1663_length_2496_cov_64.222040,2496,76.7%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1670_length_2491_cov_40.349343,2491,76.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1676_length_2484_cov_34.350350,2484,76.4%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1680_length_2482_cov_23.366296,2482,76.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1683_length_2481_cov_3.532564,2481,76.3%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1685_length_2480_cov_9.928660,2480,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1688_length_2478_cov_71.634750,2478,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1690_length_2478_cov_19.981428,2478,76.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1695_length_2474_cov_15.520050,2474,76.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1697_length_2471_cov_6.011589,2471,88.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037083_NODE_1718_length_2457_cov_9.904246,2457,84.3%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR2037083_NODE_1768_length_2411_cov_4.941851,2411,64.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_1875_length_2295_cov_3.006250,2295,70.6%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR2037083_NODE_1969_length_2204_cov_9.981852,2204,58.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037083_NODE_2001_length_2178_cov_130.275553,2178,77.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037084_NODE_614_length_3233_cov_105.877911,3233,86.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037084_NODE_641_length_3105_cov_93.142295,3105,82.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037084_NODE_664_length_3035_cov_99.495638,3035,79.5%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR2037084_NODE_677_length_2987_cov_91.495907,2987,79.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR2037084_NODE_680_length_2981_cov_55.737867,2981,79.8%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR8862005_NODE_9_length_2980_cov_87.874530,2980,106.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR8862010_NODE_20_length_3880_cov_89.253072,3880,107.2%,Full-length,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR8862010_NODE_21_length_3815_cov_92.718883,3815,105.4%,Full-length,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR8862010_NODE_26_length_3249_cov_87.338134,3249,115.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR8862010_NODE_35_length_3002_cov_7.412962,3002,79.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR8862010_NODE_54_length_2554_cov_9.011605,2554,78.5%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR8862010_NODE_58_length_2516_cov_9.061357,2516,86.3%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR10951765_NODE_1097_length_3641_cov_4.242889,3641,96.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR10951765_NODE_1233_length_3284_cov_32.964076,3284,90.7%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR10951765_NODE_1316_length_3048_cov_12.163047,3048,80.8%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
SRR10951765_NODE_1318_length_3045_cov_5.160201,3045,83.9%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR10951765_NODE_1335_length_2986_cov_6.943705,2986,82.5%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR10951765_NODE_1342_length_2970_cov_7.136535,2970,79.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR10951765_NODE_1348_length_2953_cov_22.181159,2953,78.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR10951765_NODE_1386_length_2856_cov_6.780079,2856,76.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR10951765_NODE_1409_length_2824_cov_3.586854,2824,97.0%,Partial,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
SRR10951765_NODE_1527_length_2551_cov_26.063301,2551,87.5%,Partial,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR10951765_NODE_1602_length_2400_cov_11.561194,2400,64.2%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR5681842_NODE_1_length_3126_cov_21.182355,3126,83.7%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR5681769_NODE_1_length_2523_cov_21.696648,2523,90.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR5681754_NODE_1_length_3547_cov_18.992507,3547,98.0%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR5681874_NODE_1_length_3098_cov_22.587885,3098,82.1%,Partial,NC_026764.1,3774,"Simian torque teno virus 33 isolate VWP00522.11, complete genome"
DRR140178_NODE_3_length_2980_cov_15.155556,2980,102.3%,Full-length,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
DRR140176_NODE_16_length_2971_cov_27.877572,2971,102.1%,Full-length,NC_014068.1,2910,"Torque teno mini virus 8, complete genome"
DRR140173_NODE_7_length_3255_cov_37.166562,3255,89.7%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
DRR140173_NODE_9_length_2971_cov_5.776749,2971,106.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
DRR140166_NODE_29_length_3221_cov_21.650032,3221,88.8%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR7166790_NODE_15_length_2961_cov_57.340330,2961,101.7%,Full-length,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
SRR7167018_NODE_73_length_2969_cov_50.556280,2969,103.4%,Full-length,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR7166917_NODE_46_length_2958_cov_33.011712,2958,105.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166965_NODE_6_length_2904_cov_14.952615,2904,100.2%,Full-length,NC_014095.1,2897,"Torque teno mini virus 6, complete genome"
SRR7166785_NODE_8_length_2988_cov_65.393113,2988,102.6%,Full-length,NC_020498.1,2912,"TTV-like mini virus isolate TTMV_LY1, complete genome"
SRR7167078_NODE_105_length_2960_cov_18.285370,2960,103.1%,Full-length,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR7167078_NODE_108_length_2931_cov_13.240960,2931,90.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR7167078_NODE_114_length_2879_cov_15.429533,2879,102.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7167073_NODE_69_length_2955_cov_7.834828,2955,101.4%,Full-length,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR7167022_NODE_102_length_2985_cov_44.358020,2985,104.0%,Full-length,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR7166946_NODE_3_length_2838_cov_6.518146,2838,98.9%,Partial,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR7166772_NODE_76_length_2937_cov_66.900763,2937,100.8%,Full-length,NC_025726.1,2914,"Torque teno mini virus ALA22, complete genome"
SRR7166964_NODE_8_length_2904_cov_63.308178,2904,103.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166829_NODE_7_length_2983_cov_66.900615,2983,102.4%,Full-length,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR7167069_NODE_13_length_2951_cov_70.687155,2951,105.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166925_NODE_42_length_2904_cov_58.497367,2904,103.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR7166890_NODE_17_length_2931_cov_65.936718,2931,100.7%,Full-length,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR6316203_NODE_11_length_2895_cov_70.984155,2895,103.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316203_NODE_13_length_2867_cov_116.671053,2867,102.3%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316270_NODE_7_length_2996_cov_70.928596,2996,104.4%,Full-length,NC_038346.1,2871,"Torque teno mini virus 11 isolate LIL-y2 ORF2, ORF1, and ORF3 genes, complete cds"
SRR6316217_NODE_7_length_2931_cov_33.439847,2931,90.1%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316217_NODE_8_length_2906_cov_82.379165,2906,103.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316304_NODE_6_length_3241_cov_72.867232,3241,115.6%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316247_NODE_13_length_2823_cov_74.446171,2823,100.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316292_NODE_1_length_3780_cov_167.220403,3780,134.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316292_NODE_2_length_3768_cov_87.457312,3768,134.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316240_NODE_20_length_2891_cov_43.022920,2891,99.3%,Partial,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR6316202_NODE_13_length_2856_cov_4.798286,2856,103.3%,Full-length,NC_014086.1,2765,"Torque teno mini virus 2, complete genome"
SRR8862009_NODE_1_length_3851_cov_77.878293,3851,102.4%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR8862005_NODE_7_length_2998_cov_82.991845,2998,107.0%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR8862005_NODE_11_length_2934_cov_85.055575,2934,100.8%,Full-length,NC_038347.1,2912,"Torque teno mini virus 12 isolate LIL-y3 ORF2, ORF1, ORF3, and ORF4 genes, complete cds"
SRR8862010_NODE_45_length_2827_cov_84.727633,2827,100.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_9021_length_2020_cov_141.921120,2020,55.8%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR2037085_NODE_8590_length_2090_cov_2.353317,2090,74.6%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8547_length_2097_cov_110.214985,2097,74.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8262_length_2144_cov_71.843466,2144,56.2%,Partial,NC_014091.1,3818,"Torque teno virus 16, complete genome"
SRR2037085_NODE_7460_length_2291_cov_72.102862,2291,81.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6819_length_2436_cov_11.142377,2436,86.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6615_length_2476_cov_27.154895,2476,88.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6570_length_2482_cov_73.878039,2482,88.5%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6534_length_2490_cov_4.544148,2490,88.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_6391_length_2518_cov_9.021112,2518,89.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5504_length_2766_cov_17.601623,2766,98.7%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5475_length_2775_cov_31.245588,2775,99.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5209_length_2855_cov_76.235714,2855,101.9%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_4855_length_2977_cov_118.125257,2977,106.2%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_5404_length_2798_cov_9.382793,2798,99.8%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8640_length_2081_cov_56.280849,2081,74.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8639_length_2081_cov_63.640178,2081,74.2%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8523_length_2102_cov_3.588666,2102,75.0%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR2037085_NODE_8414_length_2121_cov_17.912875,2121,65.2%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
